Week Ending,Price
2010 Jan 08,6.56
2010 Jan 15,5.68
2010 Jan 22,5.56
2010 Jan 29,5.47
2010 Feb 05,5.47
2010 Feb 12,5.55
2010 Feb 19,5.41
2010 Feb 26,4.87
2010 Mar 05,4.74
2010 Mar 12,4.45
2010 Mar 19,4.23
2010 Mar 26,4.01
2010 Apr 02,3.82
2010 Apr 09,4.00
2010 Apr 16,4.06
2010 Apr 23,3.99
2010 Apr 30,4.16
2010 May 07,3.94
2010 May 14,4.19
2010 May 21,4.26
2010 May 28,4.18
2010 Jun 04,4.44
2010 Jun 11,4.73
2010 Jun 18,5.10
2010 Jun 25,4.93
2010 Jul 02,4.66
2010 Jul 09,4.65
2010 Jul 16,4.48
2010 Jul 23,4.64
2010 Jul 30,4.75
2010 Aug 06,4.80
2010 Aug 13,4.42
2010 Aug 20,4.30
2010 Aug 27,3.96
2010 Sep 03,3.76
2010 Sep 10,3.80
2010 Sep 17,4.01
2010 Sep 24,4.01
2010 Oct 01,3.79
2010 Oct 08,3.52
2010 Oct 15,3.49
2010 Oct 22,3.37
2010 Oct 29,3.31
2010 Nov 05,3.39
2010 Nov 12,3.70
2010 Nov 19,3.73
2010 Nov 26,3.90
2010 Dec 03,4.20
2010 Dec 10,4.46
2010 Dec 17,4.26
2010 Dec 24,4.09
2010 Dec 31,4.16
2011 Jan 07,4.52
2011 Jan 14,4.46
2011 Jan 21,4.57
2011 Jan 28,4.45
2011 Feb 04,4.51
2011 Feb 11,4.17
2011 Feb 18,3.90
2011 Feb 25,3.84
2011 Mar 04,3.82
2011 Mar 11,3.80
2011 Mar 18,3.88
2011 Mar 25,4.12
2011 Apr 01,4.30
2011 Apr 08,4.15
2011 Apr 15,4.12
2011 Apr 22,4.27
2011 Apr 29,4.39
2011 May 06,4.50
2011 May 13,4.18
2011 May 20,4.15
2011 May 27,4.35
2011 Jun 03,4.65
2011 Jun 10,4.83
2011 Jun 17,4.56
2011 Jun 24,4.33
2011 Jul 01,4.32
2011 Jul 08,4.30
2011 Jul 15,4.41
2011 Jul 22,4.58
